StorageUnit,name,carrier,bus,p_nom,capital_cost,max_hours,efficiency_store,efficiency_dispatch,cyclic_state_of_charge,p_min_pu,build_year,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,marginal_cost,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge_per_period,standing_loss,inflow,p_nom_opt,country,bidding_zone,p_set_before_scaling
344 hydro,Ulset,hydro,6868,35.0,177831.093925293,3054.85714285714,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,21.9800881835873,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,35.0
345 hydro,Ulvik 3,hydro,6668,21.7649,177831.093925293,2354.71028037383,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,7.7203289105361,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,21.7649
346 hydro,Ulvund 4,hydro,6872,19.5,177831.093925293,92.8205128205128,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,12.2460491308558,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,19.5
347 hydro,Ustekveikja,hydro,6669,36.5,177831.093925293,78.7558904109589,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,12.9470847665079,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,36.5
348 hydro,Uvdal 2,hydro,6716,131.537,177831.093925293,3214.44444444444,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,46.6581010666342,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,131.537
349 hydro,Vafos 2,hydro,6728,4.89,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,0.0
350 hydro,Valen,hydro,6674,13.0,177831.093925293,400.421052631579,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,8.10687073519837,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,13.0
351 hydro,Vemundsbotn 4,hydro,6653,45.0,177831.093925293,2362.01777777778,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,15.9621593011741,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,45.0
352 hydro,Vessingfoss 4,hydro,7061,40.0,177831.093925293,1859.375,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,25.1201007812427,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,40.0
353 hydro,Vestfossen,hydro,6732,2.8,177831.093925293,870.821428571429,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,0.0
